"col_names","des"
"14_Q1379","What is the answer to 3 x 8?"
"14_Q1380","What is the answer to 3 x 9?"
"14_Q1381","What is the answer to 3 x 10?"
"14_Q1382","What is the answer to 3 x 11?"
"14_Q1383","What is the answer to 3 x 12?"
"14_Q1384","Would you like to continue practicing the 3 times table?"
"15_Q1372","What is the answer to 3 x 1?"
"15_Q1373","What is the answer to 3 x 2?"
"15_Q1374","What is the answer to 3 x 3?"
"15_Q1375","What is the answer to 3 x 4?"
"15_Q1376","What is the answer to 3 x 5?"
"15_Q1377","What is the answer to 3 x 6?"
"15_Q1378","What is the answer to 3 x 7?"
"15_Q1379","What is the answer to 3 x 8?"
"15_Q1380","What is the answer to 3 x 9?"
"15_Q1381","What is the answer to 3 x 10?"
"15_Q1382","What is the answer to 3 x 11?"
"15_Q1383","What is the answer to 3 x 12?"
"15_Q1384","Would you like to continue practicing the 3 times table?"
"Q1184","Please feel free to study the 4 times table below. Would you like to practice problems from the 4 times table?"
"Q1255","What is the answer to 4 x 1?"
"Q1256","What is the answer to 4 x 2?"
"Q1257","What is the answer to 4 x 3?"
"Q1258","What is the answer to 4 x 4?"
"Q1259","What is the answer to 4 x 5?"
"Q1260","What is the answer to 4 x 6?"
"Q1261","What is the answer to 4 x 7?"
"Q1262","What is the answer to 4 x 8?"
"Q1263","What is the answer to 4 x 9?"
"Q1264","What is the answer to 4 x 10?"
"Q1265","What is the answer to 4 x 11?"
"Q1266","What is the answer to 4 x 12?"
"Q1267","Would you like to continue practicing the 4 times table?"
"1_Q1385","What is the answer to 4 x 1?"
"1_Q1386","What is the answer to 4 x 2?"
"1_Q1387","What is the answer to 4 x 3?"
"1_Q1388","What is the answer to 4 x 4?"
"1_Q1389","What is the answer to 4 x 5?"
"1_Q1390","What is the answer to 4 x 6?"
"1_Q1391","What is the answer to 4 x 7?"
"1_Q1392","What is the answer to 4 x 8?"
"1_Q1393","What is the answer to 4 x 9?"
"1_Q1394","What is the answer to 4 x 10?"
"1_Q1395","What is the answer to 4 x 11?"
"1_Q1396","What is the answer to 4 x 12?"
"1_Q1397","Would you like to continue practicing the 4 times table?"
"2_Q1385","What is the answer to 4 x 1?"
"2_Q1386","What is the answer to 4 x 2?"
"2_Q1387","What is the answer to 4 x 3?"
"2_Q1388","What is the answer to 4 x 4?"
"2_Q1389","What is the answer to 4 x 5?"
"2_Q1390","What is the answer to 4 x 6?"
"2_Q1391","What is the answer to 4 x 7?"
"2_Q1392","What is the answer to 4 x 8?"
"2_Q1393","What is the answer to 4 x 9?"
"2_Q1394","What is the answer to 4 x 10?"
"2_Q1395","What is the answer to 4 x 11?"
"2_Q1396","What is the answer to 4 x 12?"
"2_Q1397","Would you like to continue practicing the 4 times table?"
"3_Q1385","What is the answer to 4 x 1?"
"3_Q1386","What is the answer to 4 x 2?"
"3_Q1387","What is the answer to 4 x 3?"
"3_Q1388","What is the answer to 4 x 4?"
"3_Q1389","What is the answer to 4 x 5?"
"3_Q1390","What is the answer to 4 x 6?"
"3_Q1391","What is the answer to 4 x 7?"
"3_Q1392","What is the answer to 4 x 8?"
"3_Q1393","What is the answer to 4 x 9?"
"3_Q1394","What is the answer to 4 x 10?"
"3_Q1395","What is the answer to 4 x 11?"
"3_Q1396","What is the answer to 4 x 12?"
"3_Q1397","Would you like to continue practicing the 4 times table?"
"4_Q1385","What is the answer to 4 x 1?"
"4_Q1386","What is the answer to 4 x 2?"
"4_Q1387","What is the answer to 4 x 3?"
"4_Q1388","What is the answer to 4 x 4?"
"4_Q1389","What is the answer to 4 x 5?"
"4_Q1390","What is the answer to 4 x 6?"
"4_Q1391","What is the answer to 4 x 7?"
"4_Q1392","What is the answer to 4 x 8?"
"4_Q1393","What is the answer to 4 x 9?"
"4_Q1394","What is the answer to 4 x 10?"
"4_Q1395","What is the answer to 4 x 11?"
"4_Q1396","What is the answer to 4 x 12?"
"4_Q1397","Would you like to continue practicing the 4 times table?"
"5_Q1385","What is the answer to 4 x 1?"
"5_Q1386","What is the answer to 4 x 2?"
"5_Q1387","What is the answer to 4 x 3?"
"5_Q1388","What is the answer to 4 x 4?"
"5_Q1389","What is the answer to 4 x 5?"
"5_Q1390","What is the answer to 4 x 6?"
"5_Q1391","What is the answer to 4 x 7?"
"5_Q1392","What is the answer to 4 x 8?"
"5_Q1393","What is the answer to 4 x 9?"
"5_Q1394","What is the answer to 4 x 10?"
"5_Q1395","What is the answer to 4 x 11?"
"5_Q1396","What is the answer to 4 x 12?"
"5_Q1397","Would you like to continue practicing the 4 times table?"
"6_Q1385","What is the answer to 4 x 1?"
"6_Q1386","What is the answer to 4 x 2?"
"6_Q1387","What is the answer to 4 x 3?"
"6_Q1388","What is the answer to 4 x 4?"
"6_Q1389","What is the answer to 4 x 5?"
"6_Q1390","What is the answer to 4 x 6?"
"6_Q1391","What is the answer to 4 x 7?"
"6_Q1392","What is the answer to 4 x 8?"
"6_Q1393","What is the answer to 4 x 9?"
"6_Q1394","What is the answer to 4 x 10?"
"6_Q1395","What is the answer to 4 x 11?"
"6_Q1396","What is the answer to 4 x 12?"
"6_Q1397","Would you like to continue practicing the 4 times table?"
"7_Q1385","What is the answer to 4 x 1?"
"7_Q1386","What is the answer to 4 x 2?"
"7_Q1387","What is the answer to 4 x 3?"
"7_Q1388","What is the answer to 4 x 4?"
"7_Q1389","What is the answer to 4 x 5?"
"7_Q1390","What is the answer to 4 x 6?"
"7_Q1391","What is the answer to 4 x 7?"
"7_Q1392","What is the answer to 4 x 8?"
"7_Q1393","What is the answer to 4 x 9?"
"7_Q1394","What is the answer to 4 x 10?"
"7_Q1395","What is the answer to 4 x 11?"
"7_Q1396","What is the answer to 4 x 12?"
"7_Q1397","Would you like to continue practicing the 4 times table?"
"8_Q1385","What is the answer to 4 x 1?"
"8_Q1386","What is the answer to 4 x 2?"
"8_Q1387","What is the answer to 4 x 3?"
"8_Q1388","What is the answer to 4 x 4?"
"8_Q1389","What is the answer to 4 x 5?"
"8_Q1390","What is the answer to 4 x 6?"
"8_Q1391","What is the answer to 4 x 7?"
"8_Q1392","What is the answer to 4 x 8?"
"8_Q1393","What is the answer to 4 x 9?"
"8_Q1394","What is the answer to 4 x 10?"
"8_Q1395","What is the answer to 4 x 11?"
"8_Q1396","What is the answer to 4 x 12?"
"8_Q1397","Would you like to continue practicing the 4 times table?"
"9_Q1385","What is the answer to 4 x 1?"
"9_Q1386","What is the answer to 4 x 2?"
"9_Q1387","What is the answer to 4 x 3?"
"9_Q1388","What is the answer to 4 x 4?"
"9_Q1389","What is the answer to 4 x 5?"
"9_Q1390","What is the answer to 4 x 6?"
"9_Q1391","What is the answer to 4 x 7?"
"9_Q1392","What is the answer to 4 x 8?"
"9_Q1393","What is the answer to 4 x 9?"
"9_Q1394","What is the answer to 4 x 10?"
"9_Q1395","What is the answer to 4 x 11?"
"9_Q1396","What is the answer to 4 x 12?"
"9_Q1397","Would you like to continue practicing the 4 times table?"
"10_Q1385","What is the answer to 4 x 1?"
"10_Q1386","What is the answer to 4 x 2?"
"10_Q1387","What is the answer to 4 x 3?"
"10_Q1388","What is the answer to 4 x 4?"
"10_Q1389","What is the answer to 4 x 5?"
"10_Q1390","What is the answer to 4 x 6?"
"10_Q1391","What is the answer to 4 x 7?"
"10_Q1392","What is the answer to 4 x 8?"
"10_Q1393","What is the answer to 4 x 9?"
"10_Q1394","What is the answer to 4 x 10?"
"10_Q1395","What is the answer to 4 x 11?"
"10_Q1396","What is the answer to 4 x 12?"
"10_Q1397","Would you like to continue practicing the 4 times table?"
"11_Q1385","What is the answer to 4 x 1?"
"11_Q1386","What is the answer to 4 x 2?"
"11_Q1387","What is the answer to 4 x 3?"
"11_Q1388","What is the answer to 4 x 4?"
"11_Q1389","What is the answer to 4 x 5?"
"11_Q1390","What is the answer to 4 x 6?"
"11_Q1391","What is the answer to 4 x 7?"
"11_Q1392","What is the answer to 4 x 8?"
"11_Q1393","What is the answer to 4 x 9?"
"11_Q1394","What is the answer to 4 x 10?"
"11_Q1395","What is the answer to 4 x 11?"
"11_Q1396","What is the answer to 4 x 12?"
"11_Q1397","Would you like to continue practicing the 4 times table?"
"12_Q1385","What is the answer to 4 x 1?"
"12_Q1386","What is the answer to 4 x 2?"
"12_Q1387","What is the answer to 4 x 3?"
"12_Q1388","What is the answer to 4 x 4?"
"12_Q1389","What is the answer to 4 x 5?"
"12_Q1390","What is the answer to 4 x 6?"
"12_Q1391","What is the answer to 4 x 7?"
"12_Q1392","What is the answer to 4 x 8?"
"12_Q1393","What is the answer to 4 x 9?"
"12_Q1394","What is the answer to 4 x 10?"
"12_Q1395","What is the answer to 4 x 11?"
"12_Q1396","What is the answer to 4 x 12?"
"12_Q1397","Would you like to continue practicing the 4 times table?"
"13_Q1385","What is the answer to 4 x 1?"
"13_Q1386","What is the answer to 4 x 2?"
"13_Q1387","What is the answer to 4 x 3?"
"13_Q1388","What is the answer to 4 x 4?"
"13_Q1389","What is the answer to 4 x 5?"
"13_Q1390","What is the answer to 4 x 6?"
"13_Q1391","What is the answer to 4 x 7?"
"13_Q1392","What is the answer to 4 x 8?"
"13_Q1393","What is the answer to 4 x 9?"
"13_Q1394","What is the answer to 4 x 10?"
"13_Q1395","What is the answer to 4 x 11?"
"13_Q1396","What is the answer to 4 x 12?"
"13_Q1397","Would you like to continue practicing the 4 times table?"
"14_Q1385","What is the answer to 4 x 1?"
"14_Q1386","What is the answer to 4 x 2?"
"14_Q1387","What is the answer to 4 x 3?"
"14_Q1388","What is the answer to 4 x 4?"
"14_Q1389","What is the answer to 4 x 5?"
"14_Q1390","What is the answer to 4 x 6?"
"14_Q1391","What is the answer to 4 x 7?"
"14_Q1392","What is the answer to 4 x 8?"
"14_Q1393","What is the answer to 4 x 9?"
"14_Q1394","What is the answer to 4 x 10?"
"14_Q1395","What is the answer to 4 x 11?"
"14_Q1396","What is the answer to 4 x 12?"
"14_Q1397","Would you like to continue practicing the 4 times table?"
"15_Q1385","What is the answer to 4 x 1?"
"15_Q1386","What is the answer to 4 x 2?"
"15_Q1387","What is the answer to 4 x 3?"
"15_Q1388","What is the answer to 4 x 4?"
"15_Q1389","What is the answer to 4 x 5?"
"15_Q1390","What is the answer to 4 x 6?"
"15_Q1391","What is the answer to 4 x 7?"
"15_Q1392","What is the answer to 4 x 8?"
"15_Q1393","What is the answer to 4 x 9?"
"15_Q1394","What is the answer to 4 x 10?"
"15_Q1395","What is the answer to 4 x 11?"
"15_Q1396","What is the answer to 4 x 12?"
"15_Q1397","Would you like to continue practicing the 4 times table?"
"Q1186","Please feel free to study the 5 times table below. Would you like to practice problems from the 5 times table?"
"Q1268","What is the answer to 5 x 1?"
"Q1269","What is the answer to 5 x 2?"
"Q1270","What is the answer to 5 x 3?"
"Q1271","What is the answer to 5 x 4?"
"Q1272","What is the answer to 5 x 5?"
"Q1273","What is the answer to 5 x 6?"
"Q1274","What is the answer to 5 x 7?"
"Q1275","What is the answer to 5 x 8?"
"Q1276","What is the answer to 5 x 9?"
"Q1277","What is the answer to 5 x 10?"
"Q1278","What is the answer to 5 x 11?"
"Q1279","What is the answer to 5 x 12?"
"Q1280","Would you like to continue practicing the 5 times table?"
"1_Q1398","What is the answer to 5 x 1?"
"1_Q1399","What is the answer to 5 x 2?"
"1_Q1400","What is the answer to 5 x 3?"
"1_Q1401","What is the answer to 5 x 4?"
"1_Q1402","What is the answer to 5 x 5?"
"1_Q1403","What is the answer to 5 x 6?"
"1_Q1404","What is the answer to 5 x 7?"
"1_Q1405","What is the answer to 5 x 8?"
"1_Q1406","What is the answer to 5 x 9?"
"1_Q1407","What is the answer to 5 x 10?"
"1_Q1408","What is the answer to 5 x 11?"
"1_Q1409","What is the answer to 5 x 12?"
"1_Q1410","Would you like to continue practicing the 5 times table?"
"2_Q1398","What is the answer to 5 x 1?"
"2_Q1399","What is the answer to 5 x 2?"
"2_Q1400","What is the answer to 5 x 3?"
"2_Q1401","What is the answer to 5 x 4?"
"2_Q1402","What is the answer to 5 x 5?"
"2_Q1403","What is the answer to 5 x 6?"
"2_Q1404","What is the answer to 5 x 7?"
"2_Q1405","What is the answer to 5 x 8?"
"2_Q1406","What is the answer to 5 x 9?"
"2_Q1407","What is the answer to 5 x 10?"
"2_Q1408","What is the answer to 5 x 11?"
"2_Q1409","What is the answer to 5 x 12?"
"2_Q1410","Would you like to continue practicing the 5 times table?"
"3_Q1398","What is the answer to 5 x 1?"
"3_Q1399","What is the answer to 5 x 2?"
"3_Q1400","What is the answer to 5 x 3?"
"3_Q1401","What is the answer to 5 x 4?"
"3_Q1402","What is the answer to 5 x 5?"
"3_Q1403","What is the answer to 5 x 6?"
"3_Q1404","What is the answer to 5 x 7?"
"3_Q1405","What is the answer to 5 x 8?"
"3_Q1406","What is the answer to 5 x 9?"
"3_Q1407","What is the answer to 5 x 10?"
"3_Q1408","What is the answer to 5 x 11?"
"3_Q1409","What is the answer to 5 x 12?"
"3_Q1410","Would you like to continue practicing the 5 times table?"
"4_Q1398","What is the answer to 5 x 1?"
"4_Q1399","What is the answer to 5 x 2?"
"4_Q1400","What is the answer to 5 x 3?"
"4_Q1401","What is the answer to 5 x 4?"
"4_Q1402","What is the answer to 5 x 5?"
"4_Q1403","What is the answer to 5 x 6?"
"4_Q1404","What is the answer to 5 x 7?"
"4_Q1405","What is the answer to 5 x 8?"
"4_Q1406","What is the answer to 5 x 9?"
"4_Q1407","What is the answer to 5 x 10?"
"4_Q1408","What is the answer to 5 x 11?"
"4_Q1409","What is the answer to 5 x 12?"
"4_Q1410","Would you like to continue practicing the 5 times table?"
"5_Q1398","What is the answer to 5 x 1?"
"5_Q1399","What is the answer to 5 x 2?"
"5_Q1400","What is the answer to 5 x 3?"
"5_Q1401","What is the answer to 5 x 4?"
"5_Q1402","What is the answer to 5 x 5?"
"5_Q1403","What is the answer to 5 x 6?"
"5_Q1404","What is the answer to 5 x 7?"
"5_Q1405","What is the answer to 5 x 8?"
"5_Q1406","What is the answer to 5 x 9?"
"5_Q1407","What is the answer to 5 x 10?"
"5_Q1408","What is the answer to 5 x 11?"
"5_Q1409","What is the answer to 5 x 12?"
"5_Q1410","Would you like to continue practicing the 5 times table?"
"6_Q1398","What is the answer to 5 x 1?"
"6_Q1399","What is the answer to 5 x 2?"
"6_Q1400","What is the answer to 5 x 3?"
"6_Q1401","What is the answer to 5 x 4?"
"6_Q1402","What is the answer to 5 x 5?"
"6_Q1403","What is the answer to 5 x 6?"
"6_Q1404","What is the answer to 5 x 7?"
"6_Q1405","What is the answer to 5 x 8?"
"6_Q1406","What is the answer to 5 x 9?"
"6_Q1407","What is the answer to 5 x 10?"
"6_Q1408","What is the answer to 5 x 11?"
"6_Q1409","What is the answer to 5 x 12?"
"6_Q1410","Would you like to continue practicing the 5 times table?"
"7_Q1398","What is the answer to 5 x 1?"
"7_Q1399","What is the answer to 5 x 2?"
"7_Q1400","What is the answer to 5 x 3?"
"7_Q1401","What is the answer to 5 x 4?"
"7_Q1402","What is the answer to 5 x 5?"
"7_Q1403","What is the answer to 5 x 6?"
"7_Q1404","What is the answer to 5 x 7?"
"7_Q1405","What is the answer to 5 x 8?"
"7_Q1406","What is the answer to 5 x 9?"
"7_Q1407","What is the answer to 5 x 10?"
"7_Q1408","What is the answer to 5 x 11?"
"7_Q1409","What is the answer to 5 x 12?"
"7_Q1410","Would you like to continue practicing the 5 times table?"
"8_Q1398","What is the answer to 5 x 1?"
"8_Q1399","What is the answer to 5 x 2?"
"8_Q1400","What is the answer to 5 x 3?"
"8_Q1401","What is the answer to 5 x 4?"
"8_Q1402","What is the answer to 5 x 5?"
"8_Q1403","What is the answer to 5 x 6?"
"8_Q1404","What is the answer to 5 x 7?"
"8_Q1405","What is the answer to 5 x 8?"
"8_Q1406","What is the answer to 5 x 9?"
"8_Q1407","What is the answer to 5 x 10?"
"8_Q1408","What is the answer to 5 x 11?"
"8_Q1409","What is the answer to 5 x 12?"
"8_Q1410","Would you like to continue practicing the 5 times table?"
"9_Q1398","What is the answer to 5 x 1?"
"9_Q1399","What is the answer to 5 x 2?"
"9_Q1400","What is the answer to 5 x 3?"
"9_Q1401","What is the answer to 5 x 4?"
"9_Q1402","What is the answer to 5 x 5?"
"9_Q1403","What is the answer to 5 x 6?"
"9_Q1404","What is the answer to 5 x 7?"
"9_Q1405","What is the answer to 5 x 8?"
"9_Q1406","What is the answer to 5 x 9?"
"9_Q1407","What is the answer to 5 x 10?"
"9_Q1408","What is the answer to 5 x 11?"
"9_Q1409","What is the answer to 5 x 12?"
"9_Q1410","Would you like to continue practicing the 5 times table?"
"10_Q1398","What is the answer to 5 x 1?"
"10_Q1399","What is the answer to 5 x 2?"
"10_Q1400","What is the answer to 5 x 3?"
"10_Q1401","What is the answer to 5 x 4?"
"10_Q1402","What is the answer to 5 x 5?"
"10_Q1403","What is the answer to 5 x 6?"
"10_Q1404","What is the answer to 5 x 7?"
"10_Q1405","What is the answer to 5 x 8?"
"10_Q1406","What is the answer to 5 x 9?"
"10_Q1407","What is the answer to 5 x 10?"
"10_Q1408","What is the answer to 5 x 11?"
"10_Q1409","What is the answer to 5 x 12?"
"10_Q1410","Would you like to continue practicing the 5 times table?"
"11_Q1398","What is the answer to 5 x 1?"
"11_Q1399","What is the answer to 5 x 2?"
"11_Q1400","What is the answer to 5 x 3?"
"11_Q1401","What is the answer to 5 x 4?"
"11_Q1402","What is the answer to 5 x 5?"
"11_Q1403","What is the answer to 5 x 6?"
"11_Q1404","What is the answer to 5 x 7?"
"11_Q1405","What is the answer to 5 x 8?"
"11_Q1406","What is the answer to 5 x 9?"
"11_Q1407","What is the answer to 5 x 10?"
"11_Q1408","What is the answer to 5 x 11?"
"11_Q1409","What is the answer to 5 x 12?"
"11_Q1410","Would you like to continue practicing the 5 times table?"
"12_Q1398","What is the answer to 5 x 1?"
"12_Q1399","What is the answer to 5 x 2?"
"12_Q1400","What is the answer to 5 x 3?"
"12_Q1401","What is the answer to 5 x 4?"
"12_Q1402","What is the answer to 5 x 5?"
"12_Q1403","What is the answer to 5 x 6?"
"12_Q1404","What is the answer to 5 x 7?"
"12_Q1405","What is the answer to 5 x 8?"
"12_Q1406","What is the answer to 5 x 9?"
"12_Q1407","What is the answer to 5 x 10?"
"12_Q1408","What is the answer to 5 x 11?"
"12_Q1409","What is the answer to 5 x 12?"
"12_Q1410","Would you like to continue practicing the 5 times table?"
"13_Q1398","What is the answer to 5 x 1?"
"13_Q1399","What is the answer to 5 x 2?"
"13_Q1400","What is the answer to 5 x 3?"
"13_Q1401","What is the answer to 5 x 4?"
"13_Q1402","What is the answer to 5 x 5?"
"13_Q1403","What is the answer to 5 x 6?"
"13_Q1404","What is the answer to 5 x 7?"
"13_Q1405","What is the answer to 5 x 8?"
"13_Q1406","What is the answer to 5 x 9?"
"13_Q1407","What is the answer to 5 x 10?"
"13_Q1408","What is the answer to 5 x 11?"
"13_Q1409","What is the answer to 5 x 12?"
"13_Q1410","Would you like to continue practicing the 5 times table?"
"14_Q1398","What is the answer to 5 x 1?"
"14_Q1399","What is the answer to 5 x 2?"
"14_Q1400","What is the answer to 5 x 3?"
"14_Q1401","What is the answer to 5 x 4?"
"14_Q1402","What is the answer to 5 x 5?"
"14_Q1403","What is the answer to 5 x 6?"
"14_Q1404","What is the answer to 5 x 7?"
"14_Q1405","What is the answer to 5 x 8?"
"14_Q1406","What is the answer to 5 x 9?"
"14_Q1407","What is the answer to 5 x 10?"
"14_Q1408","What is the answer to 5 x 11?"
"14_Q1409","What is the answer to 5 x 12?"
"14_Q1410","Would you like to continue practicing the 5 times table?"
"15_Q1398","What is the answer to 5 x 1?"
"15_Q1399","What is the answer to 5 x 2?"
"15_Q1400","What is the answer to 5 x 3?"
"15_Q1401","What is the answer to 5 x 4?"
"15_Q1402","What is the answer to 5 x 5?"
"15_Q1403","What is the answer to 5 x 6?"
"15_Q1404","What is the answer to 5 x 7?"
"15_Q1405","What is the answer to 5 x 8?"
"15_Q1406","What is the answer to 5 x 9?"
"15_Q1407","What is the answer to 5 x 10?"
"15_Q1408","What is the answer to 5 x 11?"
"15_Q1409","What is the answer to 5 x 12?"
"15_Q1410","Would you like to continue practicing the 5 times table?"
"Q1188","Please feel free to study the 6 times table below. Would you like to practice problems from the 6 times table?"
"Q1281","What is the answer to 6 x 1?"
"Q1282","What is the answer to 6 x 2?"
"Q1283","What is the answer to 6 x 3?"
"Q1284","What is the answer to 6 x 4?"
"Q1285","What is the answer to 6 x 5?"
"Q1286","What is the answer to 6 x 6?"
"Q1287","What is the answer to 6 x 7?"
"Q1288","What is the answer to 6 x 8?"
"Q1289","What is the answer to 6 x 9?"
"Q1290","What is the answer to 6 x 10?"
"Q1291","What is the answer to 6 x 11?"
"Q1292","What is the answer to 6 x 12?"
"Q1293","Would you like to continue practicing the 6 times table?"
"1_Q1411","What is the answer to 6 x 1?"
"1_Q1412","What is the answer to 6 x 2?"
"1_Q1413","What is the answer to 6 x 3?"
"1_Q1414","What is the answer to 6 x 4?"
"1_Q1415","What is the answer to 6 x 5?"
"1_Q1416","What is the answer to 6 x 6?"
"1_Q1417","What is the answer to 6 x 7?"
"1_Q1418","What is the answer to 6 x 8?"
"1_Q1419","What is the answer to 6 x 9?"
"1_Q1420","What is the answer to 6 x 10?"
"1_Q1421","What is the answer to 6 x 11?"
"1_Q1422","What is the answer to 6 x 12?"
"1_Q1423","Would you like to continue practicing the 6 times table?"
"2_Q1411","What is the answer to 6 x 1?"
"2_Q1412","What is the answer to 6 x 2?"
"2_Q1413","What is the answer to 6 x 3?"
"2_Q1414","What is the answer to 6 x 4?"
"2_Q1415","What is the answer to 6 x 5?"
"2_Q1416","What is the answer to 6 x 6?"
"2_Q1417","What is the answer to 6 x 7?"
"2_Q1418","What is the answer to 6 x 8?"
"2_Q1419","What is the answer to 6 x 9?"
"2_Q1420","What is the answer to 6 x 10?"
"2_Q1421","What is the answer to 6 x 11?"
"2_Q1422","What is the answer to 6 x 12?"
"2_Q1423","Would you like to continue practicing the 6 times table?"
"3_Q1411","What is the answer to 6 x 1?"
"3_Q1412","What is the answer to 6 x 2?"
"3_Q1413","What is the answer to 6 x 3?"
"3_Q1414","What is the answer to 6 x 4?"
"3_Q1415","What is the answer to 6 x 5?"
"3_Q1416","What is the answer to 6 x 6?"
"3_Q1417","What is the answer to 6 x 7?"
"3_Q1418","What is the answer to 6 x 8?"
"3_Q1419","What is the answer to 6 x 9?"
"3_Q1420","What is the answer to 6 x 10?"
"3_Q1421","What is the answer to 6 x 11?"
"3_Q1422","What is the answer to 6 x 12?"
"3_Q1423","Would you like to continue practicing the 6 times table?"
"4_Q1411","What is the answer to 6 x 1?"
"4_Q1412","What is the answer to 6 x 2?"
"4_Q1413","What is the answer to 6 x 3?"
"4_Q1414","What is the answer to 6 x 4?"
"4_Q1415","What is the answer to 6 x 5?"
"4_Q1416","What is the answer to 6 x 6?"
"4_Q1417","What is the answer to 6 x 7?"
"4_Q1418","What is the answer to 6 x 8?"
"4_Q1419","What is the answer to 6 x 9?"
"4_Q1420","What is the answer to 6 x 10?"
"4_Q1421","What is the answer to 6 x 11?"
"4_Q1422","What is the answer to 6 x 12?"
"4_Q1423","Would you like to continue practicing the 6 times table?"
"5_Q1411","What is the answer to 6 x 1?"
"5_Q1412","What is the answer to 6 x 2?"
"5_Q1413","What is the answer to 6 x 3?"
"5_Q1414","What is the answer to 6 x 4?"
"5_Q1415","What is the answer to 6 x 5?"
"5_Q1416","What is the answer to 6 x 6?"
"5_Q1417","What is the answer to 6 x 7?"
"5_Q1418","What is the answer to 6 x 8?"
"5_Q1419","What is the answer to 6 x 9?"
"5_Q1420","What is the answer to 6 x 10?"
"5_Q1421","What is the answer to 6 x 11?"
"5_Q1422","What is the answer to 6 x 12?"
"5_Q1423","Would you like to continue practicing the 6 times table?"
"6_Q1411","What is the answer to 6 x 1?"
"6_Q1412","What is the answer to 6 x 2?"
"6_Q1413","What is the answer to 6 x 3?"
"6_Q1414","What is the answer to 6 x 4?"
"6_Q1415","What is the answer to 6 x 5?"
"6_Q1416","What is the answer to 6 x 6?"
"6_Q1417","What is the answer to 6 x 7?"
"6_Q1418","What is the answer to 6 x 8?"
"6_Q1419","What is the answer to 6 x 9?"
"6_Q1420","What is the answer to 6 x 10?"
"6_Q1421","What is the answer to 6 x 11?"
"6_Q1422","What is the answer to 6 x 12?"
"6_Q1423","Would you like to continue practicing the 6 times table?"
"7_Q1411","What is the answer to 6 x 1?"
"7_Q1412","What is the answer to 6 x 2?"
"7_Q1413","What is the answer to 6 x 3?"
"7_Q1414","What is the answer to 6 x 4?"
"7_Q1415","What is the answer to 6 x 5?"
"7_Q1416","What is the answer to 6 x 6?"
"7_Q1417","What is the answer to 6 x 7?"
"7_Q1418","What is the answer to 6 x 8?"
"7_Q1419","What is the answer to 6 x 9?"
"7_Q1420","What is the answer to 6 x 10?"
"7_Q1421","What is the answer to 6 x 11?"
"7_Q1422","What is the answer to 6 x 12?"
"7_Q1423","Would you like to continue practicing the 6 times table?"
"8_Q1411","What is the answer to 6 x 1?"
"8_Q1412","What is the answer to 6 x 2?"
"8_Q1413","What is the answer to 6 x 3?"
"8_Q1414","What is the answer to 6 x 4?"
"8_Q1415","What is the answer to 6 x 5?"
"8_Q1416","What is the answer to 6 x 6?"
"8_Q1417","What is the answer to 6 x 7?"
"8_Q1418","What is the answer to 6 x 8?"
"8_Q1419","What is the answer to 6 x 9?"
"8_Q1420","What is the answer to 6 x 10?"
"8_Q1421","What is the answer to 6 x 11?"
"8_Q1422","What is the answer to 6 x 12?"
"8_Q1423","Would you like to continue practicing the 6 times table?"
"9_Q1411","What is the answer to 6 x 1?"
"9_Q1412","What is the answer to 6 x 2?"
"9_Q1413","What is the answer to 6 x 3?"
"9_Q1414","What is the answer to 6 x 4?"
"9_Q1415","What is the answer to 6 x 5?"
"9_Q1416","What is the answer to 6 x 6?"
"9_Q1417","What is the answer to 6 x 7?"
"9_Q1418","What is the answer to 6 x 8?"
"9_Q1419","What is the answer to 6 x 9?"
"9_Q1420","What is the answer to 6 x 10?"
"9_Q1421","What is the answer to 6 x 11?"
"9_Q1422","What is the answer to 6 x 12?"
"9_Q1423","Would you like to continue practicing the 6 times table?"
"10_Q1411","What is the answer to 6 x 1?"
"10_Q1412","What is the answer to 6 x 2?"
"10_Q1413","What is the answer to 6 x 3?"
"10_Q1414","What is the answer to 6 x 4?"
"10_Q1415","What is the answer to 6 x 5?"
"10_Q1416","What is the answer to 6 x 6?"
"10_Q1417","What is the answer to 6 x 7?"
"10_Q1418","What is the answer to 6 x 8?"
"10_Q1419","What is the answer to 6 x 9?"
"10_Q1420","What is the answer to 6 x 10?"
"10_Q1421","What is the answer to 6 x 11?"
"10_Q1422","What is the answer to 6 x 12?"
"10_Q1423","Would you like to continue practicing the 6 times table?"
"11_Q1411","What is the answer to 6 x 1?"
"11_Q1412","What is the answer to 6 x 2?"
"11_Q1413","What is the answer to 6 x 3?"
"11_Q1414","What is the answer to 6 x 4?"
"11_Q1415","What is the answer to 6 x 5?"
"11_Q1416","What is the answer to 6 x 6?"
"11_Q1417","What is the answer to 6 x 7?"
"11_Q1418","What is the answer to 6 x 8?"
"11_Q1419","What is the answer to 6 x 9?"
"11_Q1420","What is the answer to 6 x 10?"
"11_Q1421","What is the answer to 6 x 11?"
"11_Q1422","What is the answer to 6 x 12?"
"11_Q1423","Would you like to continue practicing the 6 times table?"
"12_Q1411","What is the answer to 6 x 1?"
"12_Q1412","What is the answer to 6 x 2?"
"12_Q1413","What is the answer to 6 x 3?"
"12_Q1414","What is the answer to 6 x 4?"
"12_Q1415","What is the answer to 6 x 5?"
"12_Q1416","What is the answer to 6 x 6?"
"12_Q1417","What is the answer to 6 x 7?"
